amounts,Delivery channel1,Delivery channel2,Income Group labels,Number of Records,Continent label,amounts (copy),Category,Commitments,Continent,Cur Commit,Cur Disburse,Disbursements,Donor,Donor Name,Donor Type,Flow Type,Income Group,Recipient,Recipient Type2,Recipient Type,Region,Sub Category,Td Category,Td Type,Year Index
,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,,Africa,,0.009885,0.009885,WFP,Other multilateral donors,03_Multilateral,Grants,LDCs,Guinea,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,,Africa,,0.048107,0.048107,WFP,Other multilateral donors,03_Multilateral,Grants,LDCs,Zambia,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
5.996,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,5.996,Africa,5.996,,,IFAD,IFAD,03_Multilateral,Grants,LDCs,Djibouti,Bilateral,01_Bilateral,South of Sahara,Fishing,Building Productive Capacity,,2013
0.15,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,0.15,Africa,0.15,0.05,0.05,OFID,OFID,03_Multilateral,Grants,LDCs,Zambia,Bilateral,01_Bilateral,South of Sahara,Fishing,Building Productive Capacity,,2013
8.523148,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,8.523148,Africa,8.523148,,,IFAD,IFAD,03_Multilateral,Grants,LDCs,Mali,Bilateral,01_Bilateral,South of Sahara,Industry,Building Productive Capacity,,2013
0.556,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,0.556,Africa,0.556,,,IFAD,IFAD,03_Multilateral,Grants,LDCs,Rwanda,Bilateral,01_Bilateral,South of Sahara,Industry,Building Productive Capacity,,2013
0.6,06_Unreported,UNREPORTED,Least developed countries,1,Africa,Blue,Building Productive Capacity,0.6,Africa,0.6,0.3,0.3,OFID,OFID,03_Multilateral,Grants,LDCs,Ethiopia,Bilateral,01_Bilateral,South of Sahara,Industry,Building Productive Capacity,,2013
0.377596,01_Public sector institution,Recipient Government,Other low-income countries,1,Africa,Blue,Building Productive Capacity,0.377596,Africa,0.377596,0.377596,0.377596,UNDP,UNDP,03_Multilateral,Grants,OLICs,Kenya,Bilateral,01_Bilateral,South of Sahara,Business And Other Services,Building Productive Capacity,,2013
0,01_Public sector institution,Recipient Government,Other low-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.010130112,0.010130112,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Kenya,Bilateral,01_Bilateral,South of Sahara,Banking & Financial Services,Building Productive Capacity,,2013
,01_Public sector institution,Recipient Government,Other low-income countries,1,Africa,Blue,Building Productive Capacity,,Africa,,0.84974,0.84974,AfDF (African Dev.Fund),AfDB,03_Multilateral,Grants,OLICs,Kenya,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0,01_Public sector institution,Recipient Government,Other low-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,5.721402018,5.721402018,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Kenya,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0,01_Public sector institution,Recipient Government,Other low-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.521375465,0.521375465,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Zimbabwe,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0,02_NGOs and civil society,INTERNATIONAL NGOs,Other low-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,8.120246946,8.120246946,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Kenya,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0,02_NGOs and civil society,INTERNATIONAL NGOs,Other low-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,1.073924588,1.073924588,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Zimbabwe,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0,02_NGOs and civil society,LOCAL/REGIONAL NGOs,Other low-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,7.464723845,7.464723845,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Zimbabwe,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0,02_NGOs and civil society,NATIONAL NGOs,Other low-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,4.627881041,4.627881041,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Zimbabwe,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0.041,02_NGOs and civil society,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,Other low-income countries,1,Africa,Blue,Building Productive Capacity,0.041,Africa,0.041,0.041,0.041,UNDP,UNDP,03_Multilateral,Grants,OLICs,Kenya,Bilateral,01_Bilateral,South of Sahara,Forestry,Building Productive Capacity,,2013
0,02_NGOs and civil society,INTERNATIONAL NGOs,Other low-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,1.312785449,1.312785449,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Zimbabwe,Bilateral,01_Bilateral,South of Sahara,Fishing,Building Productive Capacity,,2013
0,02_NGOs and civil society,INTERNATIONAL NGOs,Other low-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.041941052,0.041941052,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Kenya,Bilateral,01_Bilateral,South of Sahara,Industry,Building Productive Capacity,,2013
26.553372278,04_Multilateral organisations,MULTILATERAL INSTITUTIONS,Other low-income countries,1,Africa,Blue,Building Productive Capacity,26.553372278,Africa,26.553372278,6.919994689,6.919994689,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Kenya,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0,04_Multilateral organisations,OTHER UN (Core Contributions Reportable in Part),Other low-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,2.743653744,2.743653744,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Kenya,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0,04_Multilateral organisations,OTHER UN (Core Contributions Reportable in Part),Other low-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,6.952296867,6.952296867,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Zimbabwe,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0,04_Multilateral organisations,"UNITED NATIONS AGENCIES, FUNDS AND COMMISSIONS",Other low-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,2.066834838,2.066834838,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Zimbabwe,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0.136986,04_Multilateral organisations,"UNITED NATIONS AGENCIES, FUNDS AND COMMISSIONS",Other low-income countries,1,Africa,Blue,Building Productive Capacity,0.136986,Africa,0.136986,,,GEF,GEF,03_Multilateral,Grants,OLICs,Zimbabwe,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0,04_Multilateral organisations,OTHER UN (Core Contributions Reportable in Part),Other low-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,2.311165693,2.311165693,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Zimbabwe,Bilateral,01_Bilateral,South of Sahara,Forestry,Building Productive Capacity,,2013
2.873439,04_Multilateral organisations,OTHER UN (Core Contributions Reportable in Part),Other low-income countries,1,Africa,Blue,Building Productive Capacity,2.873439,Africa,2.873439,,,GEF,GEF,03_Multilateral,Grants,OLICs,Kenya,Bilateral,01_Bilateral,South of Sahara,Forestry,Building Productive Capacity,,2013
0,05_Other,OTHER,Other low-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.312174721,0.312174721,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Kenya,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
2.642711099,05_Other,OTHER,Other low-income countries,1,Africa,Blue,Building Productive Capacity,2.642711099,Africa,2.642711099,1.271043548,1.271043548,EU Institutions,EU Institutions,03_Multilateral,Grants,OLICs,Zimbabwe,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
,06_Unreported,UNREPORTED,Other low-income countries,1,Africa,Blue,Building Productive Capacity,,Africa,,0.12,0.12,BADEA,BADEA,03_Multilateral,Grants,OLICs,Kenya,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0.017156,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0.017156,Africa,0.017156,0.017156,0.017156,UNDP,UNDP,03_Multilateral,Grants,LMICs,Egypt,Bilateral,01_Bilateral,North of Sahara,Business And Other Services,Building Productive Capacity,,2013
0.029887,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0.029887,Africa,0.029887,0.029887,0.029887,UNDP,UNDP,03_Multilateral,Grants,LMICs,Morocco,Bilateral,01_Bilateral,North of Sahara,Business And Other Services,Building Productive Capacity,,2013
0.81599,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0.81599,Africa,0.81599,1.04461,1.04461,AfDB (African Dev. Bank),AfDB,03_Multilateral,Grants,LMICs,Morocco,Bilateral,01_Bilateral,North of Sahara,Banking & Financial Services,Building Productive Capacity,,2013
0.341317,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0.341317,Africa,0.341317,0.341317,0.341317,UNDP,UNDP,03_Multilateral,Grants,LMICs,Egypt,Bilateral,01_Bilateral,North of Sahara,Banking & Financial Services,Building Productive Capacity,,2013
,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,,Africa,,0.00496,0.00496,AfDB (African Dev. Bank),AfDB,03_Multilateral,Grants,LMICs,Egypt,Bilateral,01_Bilateral,North of Sahara,Agriculture,Building Productive Capacity,,2013
0,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.016848115,0.016848115,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Egypt,Bilateral,01_Bilateral,North of Sahara,Agriculture,Building Productive Capacity,,2013
79.660116835,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,79.660116835,Africa,79.660116835,0.057541158,0.057541158,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Morocco,Bilateral,01_Bilateral,North of Sahara,Agriculture,Building Productive Capacity,,2013
0,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,6.63834307,6.63834307,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Morocco,Bilateral,01_Bilateral,North of Sahara,Forestry,Building Productive Capacity,,2013
0,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.046441848,0.046441848,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Morocco,Bilateral,01_Bilateral,North of Sahara,Tourism,Building Productive Capacity,,2013
0.439489,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0.439489,Africa,0.439489,0.439489,0.439489,UNDP,UNDP,03_Multilateral,Grants,LMICs,Nigeria,Bilateral,01_Bilateral,South of Sahara,Business And Other Services,Building Productive Capacity,,2013
0,01_Public sector institution,Donor Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.592777483,0.592777483,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Congo,Bilateral,01_Bilateral,South of Sahara,Banking & Financial Services,Building Productive Capacity,,2013
0.207791148,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0.207791148,Africa,0.207791148,0.097547599,0.097547599,AfDB (African Dev. Bank),AfDB,03_Multilateral,Grants,LMICs,Côte d'Ivoire,Bilateral,01_Bilateral,South of Sahara,Banking & Financial Services,Building Productive Capacity,,2013
,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,,Africa,,4.8464,4.8464,AfDF (African Dev.Fund),AfDB,03_Multilateral,Grants,LMICs,Congo,Bilateral,01_Bilateral,South of Sahara,Banking & Financial Services,Building Productive Capacity,,2013
0,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.105496548,0.105496548,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Côte d'Ivoire,Bilateral,01_Bilateral,South of Sahara,Banking & Financial Services,Building Productive Capacity,,2013
0,01_Public sector institution,Donor Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.544410515,0.544410515,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Swaziland,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,,Africa,,0.191,0.191,AfDF (African Dev.Fund),AfDB,03_Multilateral,Grants,LMICs,Congo,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,,Africa,,5.07915,5.07915,AfDF (African Dev.Fund),AfDB,03_Multilateral,Grants,LMICs,Côte d'Ivoire,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.174907063,0.174907063,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Cabo Verde,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.140374403,0.140374403,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Congo,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
6.107275624,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,6.107275624,Africa,6.107275624,4.751911843,4.751911843,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Côte d'Ivoire,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
2.389803505,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,2.389803505,Africa,2.389803505,18.266370154,18.266370154,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Swaziland,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0.8585,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0.8585,Africa,0.8585,0.8585,0.8585,UNDP,UNDP,03_Multilateral,Grants,LMICs,Nigeria,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,,Africa,,0.993423889,0.993423889,IDA,World Bank,03_Multilateral,Grants,LMICs,Congo,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,,Africa,,0.227717995,0.227717995,IDA,World Bank,03_Multilateral,Grants,LMICs,Côte d'Ivoire,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0,01_Public sector institution,UNREPORTED,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.462002124,0.462002124,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Cameroon,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
1.75,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,1.75,Africa,1.75,,,IDA,World Bank,03_Multilateral,Grants,LMICs,Ghana,Bilateral,01_Bilateral,South of Sahara,Forestry,Building Productive Capacity,,2013
0,01_Public sector institution,Donor Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,1.94078598,1.94078598,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Congo,Bilateral,01_Bilateral,South of Sahara,Industry,Building Productive Capacity,,2013
1.17565,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,1.17565,Africa,1.17565,0.01425,0.01425,AfDB (African Dev. Bank),AfDB,03_Multilateral,Grants,LMICs,Cabo Verde,Bilateral,01_Bilateral,South of Sahara,Industry,Building Productive Capacity,,2013
0,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.250677111,0.250677111,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Cameroon,Bilateral,01_Bilateral,South of Sahara,Industry,Building Productive Capacity,,2013
0,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.074827403,0.074827403,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Congo,Bilateral,01_Bilateral,South of Sahara,Industry,Building Productive Capacity,,2013
0,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,3.698844928,3.698844928,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Côte d'Ivoire,Bilateral,01_Bilateral,South of Sahara,Industry,Building Productive Capacity,,2013
0.452936,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0.452936,Africa,0.452936,0.452936,0.452936,UNDP,UNDP,03_Multilateral,Grants,LMICs,Nigeria,Bilateral,01_Bilateral,South of Sahara,Industry,Building Productive Capacity,,2013
,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,,Africa,,2.033464478,2.033464478,IDA,World Bank,03_Multilateral,Grants,LMICs,Côte d'Ivoire,Bilateral,01_Bilateral,South of Sahara,Industry,Building Productive Capacity,,2013
0,01_Public sector institution,UNREPORTED,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,1.593202337,1.593202337,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Ghana,Bilateral,01_Bilateral,South of Sahara,Industry,Building Productive Capacity,,2013
0,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.181133829,0.181133829,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Ghana,Bilateral,01_Bilateral,South of Sahara,Mineral Resources and Mining,Building Productive Capacity,,2013
,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,,Africa,,0.29413575,0.29413575,IDA,World Bank,03_Multilateral,Grants,LMICs,Côte d'Ivoire,Bilateral,01_Bilateral,South of Sahara,Mineral Resources and Mining,Building Productive Capacity,,2013
0.65,01_Public sector institution,Recipient Government,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0.65,Africa,0.65,,,IDA,World Bank,03_Multilateral,Grants,LMICs,Ghana,Bilateral,01_Bilateral,South of Sahara,Mineral Resources and Mining,Building Productive Capacity,,2013
0,02_NGOs and civil society,LOCAL/REGIONAL NGOs,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.47728359,0.47728359,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Egypt,Bilateral,01_Bilateral,North of Sahara,Agriculture,Building Productive Capacity,,2013
0,02_NGOs and civil society,INTERNATIONAL NGOs,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.133603293,0.133603293,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Egypt,Bilateral,01_Bilateral,North of Sahara,Industry,Building Productive Capacity,,2013
0,02_NGOs and civil society,INTERNATIONAL NGOs,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.090281466,0.090281466,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Cameroon,Bilateral,01_Bilateral,South of Sahara,Banking & Financial Services,Building Productive Capacity,,2013
0,02_NGOs and civil society,NATIONAL NGOs,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.049946893,0.049946893,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Cameroon,Bilateral,01_Bilateral,South of Sahara,Banking & Financial Services,Building Productive Capacity,,2013
0,02_NGOs and civil society,LOCAL/REGIONAL NGOs,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.078664365,0.078664365,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Congo,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0,02_NGOs and civil society,LOCAL/REGIONAL NGOs,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.299668083,0.299668083,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Swaziland,Bilateral,01_Bilateral,South of Sahara,Agriculture,Building Productive Capacity,,2013
0,02_NGOs and civil society,INTERNATIONAL NGOs,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.247464153,0.247464153,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Nigeria,Bilateral,01_Bilateral,South of Sahara,Forestry,Building Productive Capacity,,2013
0,02_NGOs and civil society,LOCAL/REGIONAL NGOs,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.163688263,0.163688263,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Côte d'Ivoire,Bilateral,01_Bilateral,South of Sahara,Forestry,Building Productive Capacity,,2013
0,02_NGOs and civil society,NATIONAL NGOs,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.204155603,0.204155603,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Côte d'Ivoire,Bilateral,01_Bilateral,South of Sahara,Forestry,Building Productive Capacity,,2013
0,02_NGOs and civil society,INTERNATIONAL NGOs,Lower middle-income countries,1,Africa,Blue,Building Productive Capacity,0,Africa,0,0.074548593,0.074548593,EU Institutions,EU Institutions,03_Multilateral,Grants,LMICs,Cameroon,Bilateral,01_Bilateral,South of Sahara,Fishing,Building Productive Capacity,,2013
